,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
189,"Last Train Home","John Mayer",738724,https://open.spotify.com/track/1fzf9Aad4y1RWrmwosAK5y
190,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",738673,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
191,"Higher Power",Coldplay,738206,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
192,Closer,"The Chainsmokers",736442,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
193,"Life Is Good (feat. Drake)",Future,736268,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
194,"Something Just Like This","The Chainsmokers",733671,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
195,"In the End","Linkin Park",731614,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
196,Dior,"Pop Smoke",730803,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
197,CORALINE,Måneskin,730277,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY
198,Dinero,"Trinidad Cardona",728720,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
199,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",727939,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
200,"Godzilla (feat. Juice WRLD)",Eminem,727370,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
