,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
133,"Life Goes On",BTS,842473,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
134,"Breaking Me",Topic,841316,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
135,"Martin & Gina","Polo G",838813,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
136,"Say You Won't Let Go","James Arthur",830932,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
137,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",830664,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
138,"What You Know Bout Love","Pop Smoke",828177,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
139,"Iko Iko (My Bestie)","Justin Wellington",827568,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
140,"death bed (coffee for your head)",Powfu,823772,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
141,Hawái,Maluma,821845,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
142,"My Head & My Heart","Ava Max",820845,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
143,Yellow,Coldplay,817061,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
144,"Therefore I Am","Billie Eilish",816464,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
145,"Ella No Es Tuya - Remix","Rochy RD",814834,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
146,Riptide,"Vance Joy",813596,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
147,"The Nights",Avicii,811335,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
148,"Prisoner (feat. Dua Lipa)","Miley Cyrus",810508,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
149,"Counting Stars",OneRepublic,803315,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
150,"Never Left","Lil Tecca",800133,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
151,"TE MUDASTE","Bad Bunny",799336,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
152,"Bohemian Rhapsody - Remastered 2011",Queen,798704,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
153,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",797348,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
154,"a m a r i","J. Cole",792101,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
155,"Daddy Issues","The Neighbourhood",790297,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
156,"As the World Caves In","Matt Maltese",787027,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD
157,"Solid (feat. Drake)","Young Stoner Life",786138,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
158,"Wake Me Up",Avicii,785897,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
159,"Last Train Home","John Mayer",785326,https://open.spotify.com/track/1fzf9Aad4y1RWrmwosAK5y
160,"Smells Like Teen Spirit",Nirvana,782280,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
161,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",781280,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
162,"my ex's best friend (with blackbear)","Machine Gun Kelly",779774,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
163,"Ride It",Regard,774587,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
164,"One Dance",Drake,773029,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
165,"All of Me","John Legend",771576,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
166,Loco,"Justin Quiles",770228,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
167,"Dreams - 2004 Remaster","Fleetwood Mac",769963,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
168,"Break My Heart","Dua Lipa",767283,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
169,"GANG GANG (with Lil Wayne)","Polo G",764341,https://open.spotify.com/track/4VW44pawoOHPUjlN7DX5vk
